Original Value,Encoded Value
011XX W BELMONT AVE,4803
011XX W BERWYN AVE,4804
011XX W BLACKHAWK ST,4805
011XX W BRYN MAWR AVE,4806
011XX W Bryn Mawr Ave,4807
011XX W CARROLL AVE,4808
011XX W CATALPA AVE,4809
011XX W CERMAK RD,4810
011XX W CHESTNUT ST,4811
011XX W CHICAGO AVE,4812
011XX W COLUMBIA AVE,4813
011XX W CONGRESS PKWY,4814
011XX W CORNELIA AVE,4815
011XX W CULLERTON ST,4816
011XX W Catalpa Ave,4817
011XX W Chestnut St,4818
011XX W DIVERSEY PKWY,4819
011XX W DIVISION ST,4820
011XX W DRUMMOND PL,4821
011XX W EDDY ST,4822
011XX W ERIE ST,4823
011XX W EXCHANGE AVE,4824
011XX W FARWELL AVE,4825
011XX W FOSTER AVE,4826
011XX W FRY ST,4827
011XX W FULLERTON AVE,4828
011XX W FULTON MARKET,4829
011XX W GARFIELD BLVD,4830
011XX W GEORGE ST,4831
011XX W GLENLAKE AVE,4832
011XX W GRACE ST,4833
011XX W GRAND AVE,4834
011XX W GRANVILLE AVE,4835
011XX W Granville Ave,4836
011XX W HARRISON ST,4837
011XX W HOLLYWOOD AVE,4838
011XX W HUBBARD ST,4839
011XX W IRVING PARK RD,4840
011XX W JACKSON BLVD,4841
011XX W LAKE ST,4842
011XX W LAWRENCE AVE,4843
011XX W LELAND AVE,4844
011XX W LILL AVE,4845
011XX W LOYOLA AVE,4846
011XX W LUNT AVE,4847
011XX W MADISON ST,4848
011XX W MARQUETTE RD,4849
011XX W MAXWELL ST,4850
011XX W MONROE ST,4851
011XX W MONTANA ST,4852
011XX W MONTROSE AVE,4853
011XX W MORSE AVE,4854
011XX W Montana St,4855
011XX W NEWPORT AVE,4856
011XX W NORTH SHORE AVE,4857
011XX W OAKDALE AVE,4858
011XX W OHIO ST,4859
011XX W PATTERSON AVE,4860
011XX W PERSHING RD,4861
011XX W POLK ST,4862
011XX W PRATT BLVD,4863
011XX W RANDOLPH ST,4864
011XX W ROOSEVELT RD,4865
011XX W ROSCOE ST,4866
011XX W ROSEMONT AVE,4867
011XX W Roscoe St,4868
011XX W Rundell Pl,4869
011XX W SCHUBERT AVE,4870
011XX W SHERIDAN RD,4871
011XX W SUNNYSIDE AVE,4872
011XX W TAYLOR ST,4873
011XX W THORNDALE AVE,4874
011XX W VAN BUREN ST,4875
011XX W VERNON PARK PL,4876
011XX W WASHBURNE AVE,4877
011XX W WASHINGTON BLVD,4878
011XX W WAVELAND AVE,4879
011XX W WEBSTER AVE,4880
011XX W WELLINGTON AVE,4881
011XX W WILSON AVE,4882
011XX W WINONA ST,4883
011XX W WOLFRAM ST,4884
011XX W WRIGHTWOOD AVE,4885
011XX W Webster Ave,4886
011XX W Wilson ave,4887
012XX E 44TH PL,4888
012XX E 46TH ST,4889
012XX E 47TH ST,4890
012XX E 50TH ST,4891
012XX E 52ND ST,4892
012XX E 53RD ST,4893
012XX E 54TH ST,4894
012XX E 55TH ST,4895
012XX E 56TH ST,4896
012XX E 57TH ST,4897
012XX E 59TH ST,4898
012XX E 60TH ST,4899
012XX E 62ND ST,4900
012XX E 63RD ST,4901
012XX E 64TH ST,4902
012XX E 69TH ST,4903
012XX E 70TH ST,4904
012XX E 71ST PL,4905
012XX E 71ST ST,4906
012XX E 72ND PL,4907
012XX E 72ND ST,4908
012XX E 73RD ST,4909
012XX E 75TH ST,4910
012XX E 76TH ST,4911
012XX E 78TH ST,4912
012XX E 79TH ST,4913
012XX E 80TH ST,4914
012XX E 81ST ST,4915
012XX E 82ND ST,4916
012XX E 83RD ST,4917
012XX E 87TH ST,4918
012XX E 93RD ST,4919
012XX E 94TH ST,4920
012XX E 95TH PL,4921
012XX E 95TH ST,4922
012XX E 96TH ST,4923
012XX E 97TH PL,4924
012XX E HYDE PARK BLVD,4925
012XX E MADISON AVENUE PARK,4926
012XX N ARTESIAN AVE,4927
012XX N ASHLAND AVE,4928
012XX N ASTOR ST,4929
012XX N AUSTIN BLVD,4930
012XX N AVERS AVE,4931
012XX N BOSWORTH AVE,4932
012XX N CALIFORNIA AVE,4933
012XX N CAMPBELL AVE,4934
012XX N CENTRAL AVE,4935
012XX N CICERO AVE,4936
012XX N CLARK ST,4937
012XX N CLEAVER ST,4938
012XX N CLEVELAND AVE,4939
012XX N CLYBOURN AVE,4940
012XX N DAMEN AVE,4941
012XX N DEARBORN ST,4942
012XX N Damen Ave,4943
012XX N ELSTON AVE,4944
012XX N GREENVIEW AVE,4945
012XX N HALSTED ST,4946
012XX N HAMLIN AVE,4947
012XX N HARDING AVE,4948
012XX N HERMITAGE AVE,4949
012XX N HOMAN AVE,4950
012XX N HONORE ST,4951
012XX N HOYNE AVE,4952
012XX N HUMBOLDT DR,4953
012XX N Harding Ave,4954
012XX N Hoyne Ave,4955
012XX N KARLOV AVE,4956
012XX N KEDZIE AVE,4957
012XX N KEELER AVE,4958
012XX N KILDARE AVE,4959
012XX N LA SALLE DR,4960
012XX N LAKE SHORE DR,4961
012XX N LAMON AVE,4962
012XX N LARAMIE AVE,4963
012XX N LARRABEE ST,4964
012XX N LAVERGNE AVE,4965
012XX N LAWNDALE AVE,4966
012XX N LEAVITT ST,4967
012XX N LECLAIRE AVE,4968
012XX N LOCKWOOD AVE,4969
012XX N LONG AVE,4970
012XX N MAPLEWOOD AVE,4971
012XX N MARION CT,4972
012XX N MASON AVE,4973
012XX N MASSASOIT AVE,4974
012XX N MAYFIELD AVE,4975
012XX N MENARD AVE,4976
012XX N MILWAUKEE AVE,4977
012XX N MONITOR AVE,4978
012XX N MONTICELLO AVE,4979
012XX N NOBLE ST,4980
012XX N NORTH BRANCH ST,4981
012XX N OAKLEY BLVD,4982
012XX N ORLEANS ST,4983
012XX N PARKSIDE AVE,4984
012XX N PAULINA ST,4985
012XX N PINE AVE,4986
012XX N PULASKI RD,4987
012XX N ROCKWELL ST,4988
012XX N SANDBURG TER,4989
012XX N SEDGWICK ST,4990
012XX N SPAULDING AVE,4991
012XX N SPRINGFIELD AVE,4992
012XX N STATE PKWY,4993
012XX N STONE ST,4994
012XX N WALLER AVE,4995
012XX N WASHTENAW AVE,4996
012XX N WELLS ST,4997
012XX N WESTERN AVE,4998
012XX N WOLCOTT AVE,4999
012XX N WOOD ST,5000
012XX N Wells St,5001
012XX S ALBANY AVE,5002
012XX S ASHLAND AVE,5003
012XX S AVERS AVE,5004
012XX S BLUE ISLAND AVE,5005
012XX S CALIFORNIA BLVD,5006
012XX S CAMPBELL AVE,5007
012XX S CANAL ST,5008
012XX S CENTRAL PARK AVE,5009
012XX S CHRISTIANA AVE,5010
012XX S CLARK ST,5011
012XX S CLINTON ST,5012
012XX S COLUMBUS DR,5013
012XX S DAMEN AVE,5014
012XX S FAIRFIELD AVE,5015
012XX S FARRAR DR,5016
012XX S FEDERAL ST,5017
012XX S HALSTED ST,5018
012XX S HARDING AVE,5019
012XX S HOMAN AVE,5020
012XX S INDEPENDENCE BLVD,5021
012XX S INDIANA AVE,5022
012XX S Indiana Ave,5023
012XX S JEFFERSON ST,5024
012XX S KARLOV AVE,5025
012XX S KEDVALE AVE,5026
012XX S KEDZIE AVE,5027
012XX S KEELER AVE,5028
012XX S KILBOURN AVE,5029
012XX S KILDARE AVE,5030
012XX S KOLIN AVE,5031
012XX S KOMENSKY AVE,5032
012XX S KOSTNER AVE,5033
012XX S LAFLIN ST,5034
012XX S LAKE SHORE DR E,5035
012XX S LAKE SHORE DR W,5036
012XX S LAWNDALE AVE,5037
012XX S LOOMIS ST,5038
012XX S MICHIGAN AVE,5039
012XX S MILLARD AVE,5040
012XX S MORGAN ST,5041
012XX S OAKLEY AVE,5042
012XX S PLYMOUTH CT,5043
012XX S PRAIRIE AVE,5044
012XX S PULASKI RD,5045
012XX S RACINE AVE,5046
012XX S RUBLE ST,5047
012XX S SAWYER AVE,5048
012XX S SPAULDING AVE,5049
012XX S SPRINGFIELD AVE,5050
012XX S ST LOUIS AVE,5051
012XX S STATE ST,5052
012XX S TALMAN AVE,5053
012XX S THROOP ST,5054
012XX S TRIPP AVE,5055
012XX S TROY ST,5056
012XX S UNION AVE,5057
012XX S WABASH AVE,5058
012XX S WASHTENAW AVE,5059
012XX S WESTERN AVE,5060
012XX S WOOD ST,5061
012XX S Wabash Ave,5062
012XX W 101ST PL,5063
012XX W 103RD ST,5064
012XX W 105TH ST,5065
012XX W 107TH PL,5066
012XX W 107TH ST,5067
012XX W 108TH PL,5068
012XX W 108TH ST,5069
012XX W 109TH PL,5070
012XX W 109TH ST,5071
012XX W 110TH PL,5072
012XX W 110TH ST,5073
012XX W 111TH PL,5074
012XX W 111TH ST,5075
012XX W 112TH PL,5076
012XX W 112TH ST,5077
012XX W 115TH ST,5078
012XX W 119TH ST,5079
012XX W 13TH ST,5080
012XX W 14TH ST,5081
012XX W 15TH ST,5082
012XX W 16TH ST,5083
012XX W 18TH ST,5084
012XX W 19TH ST,5085
012XX W 21ST ST,5086
012XX W 31ST PL,5087
012XX W 31ST ST,5088
012XX W 32ND PL,5089
012XX W 32ND ST,5090
012XX W 33RD PL,5091
012XX W 33RD ST,5092
012XX W 34TH ST,5093
012XX W 35TH ST,5094
012XX W 36TH PL,5095
012XX W 37TH ST,5096
012XX W 42ND ST,5097
012XX W 46TH ST,5098
012XX W 47TH ST,5099
012XX W 48TH ST,5100
012XX W 49TH PL,5101
012XX W 49TH ST,5102
012XX W 50TH ST,5103
012XX W 51ST ST,5104
012XX W 52ND ST,5105
012XX W 56TH ST,5106
012XX W 57TH ST,5107
012XX W 58TH ST,5108
012XX W 59TH ST,5109
012XX W 60TH ST,5110
012XX W 61ST ST,5111
012XX W 62ND ST,5112
012XX W 63RD ST,5113
012XX W 64TH ST,5114
012XX W 69TH ST,5115
012XX W 70TH ST,5116
012XX W 71ST PL,5117
012XX W 71ST ST,5118
012XX W 72ND PL,5119
012XX W 72ND ST,5120
012XX W 73RD PL,5121
012XX W 73RD ST,5122
012XX W 74TH PL,5123
012XX W 74TH ST,5124
012XX W 76TH ST,5125
012XX W 77TH ST,5126
012XX W 78TH PL,5127
012XX W 78TH ST,5128
012XX W 79TH ST,5129
012XX W 80TH ST,5130
012XX W 81ST ST,5131
012XX W 82ND ST,5132
012XX W 83RD ST,5133
012XX W 86TH ST,5134
012XX W 87TH ST,5135
012XX W 88TH ST,5136
012XX W 89TH ST,5137
012XX W 90TH ST,5138
012XX W 91ST ST,5139
012XX W 92ND ST,5140
012XX W 95TH PL,5141
012XX W 95TH ST,5142
012XX W 96TH ST,5143
012XX W 97TH PL,5144
012XX W 97TH ST,5145
012XX W 98TH ST,5146
012XX W ADAMS ST,5147
012XX W ADDISON ST,5148
012XX W AINSLIE ST,5149
012XX W ALBION AVE,5150
012XX W ALTGELD ST,5151
012XX W ARDMORE AVE,5152
012XX W ARGYLE ST,5153
012XX W ARTHINGTON ST,5154
012XX W ARTHUR AVE,5155
012XX W AUGUSTA BLVD,5156
012XX W Albion Ave,5157
012XX W BALMORAL AVE,5158
012XX W BARRY AVE,5159
012XX W BELDEN AVE,5160
012XX W BELMONT AVE,5161
012XX W BLACKHAWK ST,5162
012XX W BRYN MAWR AVE,5163
012XX W BYRON ST,5164
012XX W CABRINI ST,5165
012XX W CARMEN AVE,5166
012XX W CARROLL AVE,5167
012XX W CATALPA AVE,5168
012XX W CERMAK RD,5169
012XX W CHASE AVE,5170
012XX W CHICAGO AVE,5171
012XX W COLUMBIA AVE,5172
012XX W CONCORD PL,5173
012XX W CONGRESS PKWY,5174
012XX W CORNELIA AVE,5175
012XX W COTTAGE PL,5176
012XX W Carmen Ave,5177
012XX W Carroll Ave,5178
012XX W DEVON AVE,5179
012XX W DIVERSEY PKWY,5180
012XX W DIVISION ST,5181
012XX W EARLY AVE,5182
012XX W EDDY ST,5183
012XX W ELMDALE AVE,5184
012XX W ERIE ST,5185
012XX W FARWELL AVE,5186
012XX W FLETCHER ST,5187
012XX W FLOURNOY ST,5188
012XX W FOSTER AVE,5189
012XX W FRY ST,5190
012XX W FULLERTON AVE,5191
012XX W FULTON MARKET,5192
012XX W GARFIELD BLVD,5193
012XX W GEORGE ST,5194
012XX W GRACE ST,5195
012XX W GRAND AVE,5196
012XX W GRANVILLE AVE,5197
012XX W GREENLEAF AVE,5198
012XX W GRENSHAW ST,5199
012XX W GUNNISON ST,5200
012XX W Grace St,5201
012XX W HARRISON ST,5202
012XX W HASTINGS ST,5203
012XX W HENDERSON ST,5204
012XX W HOLLYWOOD AVE,5205
012XX W HOOD AVE,5206
012XX W HUBBARD ST,5207
012XX W HURON ST,5208
012XX W IRVING PARK RD,5209
012XX W JACKSON BLVD,5210
012XX W JARVIS AVE,5211
012XX W KINZIE ST,5212
012XX W LAKE ST,5213
012XX W LAWRENCE AVE,5214
012XX W LE MOYNE ST,5215
012XX W LELAND AVE,5216
012XX W LEXINGTON ST,5217
012XX W LILL AVE,5218
012XX W LOYOLA AVE,5219
012XX W LUNT AVE,5220
012XX W MADISON ST,5221
012XX W MARQUETTE RD,5222
012XX W MELROSE ST,5223
012XX W MONROE ST,5224
012XX W MONTANA ST,5225
012XX W MONTROSE AVE,5226
012XX W MORSE AVE,5227
012XX W NELSON ST,5228
012XX W NEWPORT AVE,5229
012XX W NORTH AVE,5230
012XX W NORTH SHORE AVE,5231
012XX W NORWOOD ST,5232
012XX W OAKDALE AVE,5233
012XX W OHIO ST,5234
012XX W PRATT BLVD,5235
012XX W Pratt Blvd,5236
012XX W RACE AVE,5237
012XX W RANDOLPH ST,5238
012XX W ROOSEVELT RD,5239
012XX W ROSCOE ST,5240
012XX W ROSEDALE AVE,5241
012XX W ROSEMONT AVE,5242
012XX W SHERWIN AVE,5243
012XX W SUNNYSIDE AVE,5244
012XX W SUPERIOR ST,5245
012XX W Schubert Ave,5246
012XX W TAYLOR ST,5247
012XX W THORNDALE AVE,5248
012XX W TOUHY AVE,5249
012XX W VAN BUREN ST,5250
012XX W VICTORIA ST,5251
012XX W WASHBURNE AVE,5252
012XX W WASHINGTON BLVD,5253
012XX W WAVELAND AVE,5254
012XX W WEBSTER AVE,5255
012XX W WELLINGTON AVE,5256
012XX W WESTGATE TER,5257
012XX W WILSON AVE,5258
012XX W WINNEMAC AVE,5259
012XX W WINONA ST,5260
012XX W WRIGHTWOOD AVE,5261
013XX E 130TH ST,5262
013XX E 47TH PL,5263
013XX E 47TH ST,5264
013XX E 48TH ST,5265
013XX E 49TH ST,5266
013XX E 50TH ST,5267
013XX E 50th St,5268
013XX E 52ND ST,5269
013XX E 53RD ST,5270
013XX E 54TH ST,5271
013XX E 55TH ST,5272
013XX E 56TH ST,5273
013XX E 57TH ST,5274
013XX E 58TH ST,5275
013XX E 59TH ST,5276
013XX E 60TH ST,5277
013XX E 61ST ST,5278
013XX E 62ND ST,5279
013XX E 63RD ST,5280
013XX E 64TH ST,5281
013XX E 67TH ST,5282
013XX E 70TH ST,5283
013XX E 71ST PL,5284
013XX E 71ST ST,5285
013XX E 72ND PL,5286
013XX E 72ND ST,5287
013XX E 73RD ST,5288
013XX E 74TH ST,5289
013XX E 75TH ST,5290
013XX E 76TH ST,5291
013XX E 76Th St,5292
013XX E 78TH ST,5293
013XX E 79TH ST,5294
013XX E 82ND ST,5295
013XX E 83RD ST,5296
013XX E 85TH ST,5297
013XX E 87TH ST,5298
013XX E 88TH PL,5299
013XX E 89TH PL,5300
013XX E 89TH ST,5301
013XX E 90TH ST,5302
013XX E 93RD ST,5303
013XX E 94TH ST,5304
013XX E 99TH ST,5305
013XX E HYDE PARK BLVD,5306
013XX E Hyde Park Blvd,5307
013XX E MADISON AVENUE PARK,5308
013XX E MARQUETTE RD,5309
013XX N ADA ST,5310
013XX N ARTESIAN AVE,5311
013XX N ASHLAND AVE,5312
013XX N ASTOR ST,5313
013XX N AUSTIN BLVD,5314
013XX N AVERS AVE,5315
013XX N BELL AVE,5316
013XX N BOSWORTH AVE,5317
013XX N BURLING ST,5318
013XX N CALIFORNIA AVE,5319
013XX N CAMPBELL AVE,5320
013XX N CENTRAL AVE,5321
013XX N CENTRAL PARK AVE,5322
013XX N CHERRY AVE,5323
013XX N CICERO AVE,5324
013XX N CLAREMONT AVE,5325
013XX N CLARK ST,5326
013XX N CLEAVER ST,5327
013XX N CLEVELAND AVE,5328
013XX N CLYBOURN AVE,5329
013XX N Campbell Ave,5330
013XX N DAMEN AVE,5331
013XX N DEAN ST,5332
013XX N DEARBORN ST,5333
013XX N ELSTON AVE,5334
013XX N GREENVIEW AVE,5335
013XX N HALSTED ST,5336
013XX N HAMLIN AVE,5337
013XX N HARDING AVE,5338
013XX N HICKORY AVE,5339
013XX N HOMAN AVE,5340
013XX N HOYNE AVE,5341
013XX N HUDSON AVE,5342
013XX N HUMBOLDT DR,5343
013XX N KARLOV AVE,5344
013XX N KEDZIE AVE,5345
013XX N KEELER AVE,5346
013XX N KILDARE AVE,5347
013XX N KINGSBURY ST,5348
013XX N KOSTNER AVE,5349
013XX N Kedzie Ave,5350
013XX N LA SALLE DR,5351
013XX N LAKE SHORE DR,5352
013XX N LAKE SHORE DR NB,5353
013XX N LAMON AVE,5354
013XX N LARAMIE AVE,5355
013XX N LARRABEE ST,5356
013XX N LATROBE AVE,5357
013XX N LAVERGNE AVE,5358
013XX N LAWNDALE AVE,5359
013XX N LEAVITT ST,5360
013XX N LOCKWOOD AVE,5361
013XX N LONG AVE,5362
013XX N LOREL AVE,5363
013XX N LUIS MUNOZ MARIN DR E,5364
013XX N LUIS MUNOZ MARIN DR W,5365
013XX N MAPLEWOOD AVE,5366
013XX N MASON AVE,5367
013XX N MASSASOIT AVE,5368
013XX N MAYFIELD AVE,5369
013XX N MENARD AVE,5370
013XX N MILWAUKEE AVE,5371
013XX N MOHAWK ST,5372
013XX N MONITOR AVE,5373
013XX N MONTICELLO AVE,5374
013XX N MOORMAN ST,5375
013XX N NOBLE ST,5376
013XX N NORTH BRANCH ST,5377
013XX N NORTH PARK AVE,5378
013XX N OAKLEY BLVD,5379
013XX N PARKSIDE AVE,5380
013XX N PAULINA ST,5381
013XX N PINE AVE,5382
013XX N PULASKI RD,5383
013XX N Paulina St,5384
013XX N RIDGEWAY AVE,5385
013XX N RITCHIE CT,5386
013XX N ROCKWELL ST,5387
013XX N SANDBURG TER,5388
013XX N SEDGWICK ST,5389
013XX N SPAULDING AVE,5390
013XX N SPRINGFIELD AVE,5391
013XX N STATE PKWY,5392
013XX N WALLER AVE,5393
013XX N WASHTENAW AVE,5394
013XX N WELLS ST,5395
013XX N WESTERN AVE,5396
013XX N WICKER PARK AVE,5397
013XX N WOLCOTT AVE,5398
013XX N WOOD ST,5399
013XX N Wells St,5400
013XX S ALBANY AVE,5401
013XX S ASHLAND AVE,5402
013XX S AVERS AVE,5403
013XX S BLUE ISLAND AVE,5404
013XX S CALIFORNIA BLVD,5405
013XX S CANAL ST,5406
013XX S CENTRAL PARK AVE,5407
013XX S CHRISTIANA AVE,5408
013XX S CLINTON ST,5409
013XX S DAMEN AVE,5410
013XX S FAIRFIELD AVE,5411
013XX S FARRAR DR,5412
013XX S FEDERAL ST,5413
013XX S HALSTED ST,5414
013XX S HARDING AVE,5415
013XX S HEATH AVE,5416
013XX S HOMAN AVE,5417
013XX S INDEPENDENCE BLVD,5418
013XX S INDIANA AVE,5419
013XX S INDIANA PKWY,5420
013XX S KARLOV AVE,5421
013XX S KEDVALE AVE,5422
013XX S KEDZIE AVE,5423
013XX S KEELER AVE,5424
013XX S KILDARE AVE,5425
013XX S KOLIN AVE,5426
013XX S KOMENSKY AVE,5427
013XX S KOSTNER AVE,5428
013XX S LAKE SHORE DR W,5429
013XX S LAWNDALE AVE,5430
013XX S LEAVITT ST,5431
013XX S LOOMIS ST,5432
013XX S LYNN WHITE DR,5433
013XX S LYTLE ST,5434
013XX S MICHIGAN AVE,5435
013XX S MILLARD AVE,5436
013XX S MORGAN ST,5437
013XX S OAKLEY AVE,5438
013XX S PAULINA ST,5439
013XX S PLYMOUTH CT,5440
013XX S PRAIRIE AVE,5441
013XX S PULASKI RD,5442
013XX S RACINE AVE,5443
013XX S ROCKWELL ST,5444
013XX S RUBLE ST,5445
013XX S SACRAMENTO DR,5446
013XX S SAWYER AVE,5447
013XX S SPAULDING AVE,5448
013XX S SPRINGFIELD AVE,5449
013XX S ST LOUIS AVE,5450
013XX S STATE ST,5451
013XX S TALMAN AVE,5452
013XX S THOMPSON DR,5453
013XX S THROOP ST,5454
013XX S TRIPP AVE,5455
013XX S TROY ST,5456
013XX S WABASH AVE,5457
013XX S WASHTENAW AVE,5458
013XX S WESTERN AVE,5459
013XX S WOOD ST,5460
013XX S Wabash Ave,5461
013XX W 103RD ST,5462
013XX W 105TH ST,5463
013XX W 106TH PL,5464
013XX W 107TH ST,5465
013XX W 108TH PL,5466
013XX W 108TH ST,5467
013XX W 109TH PL,5468
013XX W 109TH ST,5469
013XX W 110TH PL,5470
013XX W 110TH ST,5471
013XX W 111TH PL,5472
013XX W 111TH ST,5473
013XX W 112TH PL,5474
013XX W 112TH ST,5475
013XX W 113TH PL,5476
013XX W 115TH ST,5477
013XX W 116TH ST,5478
013XX W 117TH ST,5479
013XX W 119TH ST,5480
013XX W 13TH ST,5481
013XX W 14TH PL,5482
013XX W 14TH ST,5483
013XX W 15TH ST,5484
013XX W 16TH ST,5485
013XX W 18TH PL,5486
013XX W 18TH ST,5487
013XX W 19TH ST,5488
013XX W 21ST ST,5489
013XX W 31ST PL,5490
013XX W 31ST ST,5491
013XX W 32ND PL,5492
013XX W 32ND ST,5493
013XX W 33RD ST,5494
013XX W 37TH ST,5495
013XX W 47TH ST,5496
013XX W 48TH ST,5497
013XX W 49TH PL,5498
013XX W 49TH ST,5499
013XX W 51ST ST,5500
013XX W 52ND ST,5501
013XX W 56TH ST,5502
013XX W 57TH ST,5503
013XX W 58TH ST,5504
013XX W 59TH ST,5505
013XX W 61ST ST,5506
013XX W 62ND ST,5507
013XX W 63RD ST,5508
013XX W 64TH ST,5509
013XX W 68TH ST,5510
013XX W 69TH ST,5511
013XX W 71ST PL,5512
013XX W 71ST ST,5513
013XX W 72ND PL,5514
013XX W 72ND ST,5515
013XX W 73RD PL,5516
013XX W 73RD ST,5517
013XX W 74TH ST,5518
013XX W 76TH ST,5519
013XX W 77TH ST,5520
013XX W 78TH ST,5521
013XX W 79TH ST,5522
013XX W 80TH ST,5523
013XX W 81ST ST,5524
013XX W 82ND ST,5525
013XX W 83RD ST,5526
013XX W 86TH ST,5527
013XX W 87TH ST,5528
013XX W 88TH ST,5529
013XX W 89TH ST,5530
013XX W 90TH ST,5531
013XX W 91ST ST,5532
013XX W 92ND ST,5533
013XX W 95TH ST,5534
013XX W 96TH ST,5535
013XX W 97TH PL,5536
013XX W 97TH ST,5537
013XX W 98TH PL,5538
013XX W 98TH ST,5539
013XX W 99TH ST,5540
013XX W ADAMS ST,5541
013XX W ADDISON ST,5542
013XX W ALBION AVE,5543
013XX W ALTGELD ST,5544
013XX W ANCONA ST,5545
013XX W ARDMORE AVE,5546
013XX W ARGYLE ST,5547
013XX W ARTHUR AVE,5548
013XX W AUGUSTA BLVD,5549
013XX W BALMORAL AVE,5550
013XX W BARRY AVE,5551
013XX W BELMONT AVE,5552
013XX W BERWYN AVE,5553
013XX W BIRCHWOOD AVE,5554
013XX W BRYN MAWR AVE,5555
013XX W BYRON ST,5556
013XX W Balmoral Ave,5557
013XX W Belmont Ave,5558
013XX W CARMEN AVE,5559
013XX W CARROLL AVE,5560
013XX W CATALPA AVE,5561
013XX W CERMAK RD,5562
013XX W CHASE AVE,5563
013XX W CHESTNUT ST,5564
013XX W CHICAGO AVE,5565
013XX W COLUMBIA AVE,5566
013XX W CONCORD PL,5567
013XX W CONGRESS PKWY,5568
013XX W CORNELIA AVE,5569
013XX W CORTEZ ST,5570
013XX W CULLERTON ST,5571
013XX W DEVON AVE,5572
013XX W DIVERSEY PKWY,5573
013XX W DIVISION ST,5574
013XX W EARLY AVE,5575
013XX W EDDY ST,5576
013XX W ELMDALE AVE,5577
013XX W ERIE ST,5578
013XX W ESTES AVE,5579
013XX W EVERGREEN AVE,5580
013XX W Estes AVE,5581
013XX W FARGO AVE,5582
013XX W FARWELL AVE,5583
013XX W FILLMORE ST,5584
013XX W FLETCHER ST,5585
013XX W FLOURNOY ST,5586
013XX W FOSTER AVE,5587
013XX W FULLER ST,5588
013XX W FULLERTON AVE,5589
013XX W FULTON ST,5590
013XX W Fulton ST,5591
013XX W GARFIELD BLVD,5592
013XX W GEORGE ST,5593
013XX W GLENLAKE AVE,5594
013XX W GRACE ST,5595
013XX W GRAND AVE,5596
013XX W GRANVILLE AVE,5597
013XX W GREENLEAF AVE,5598
013XX W GRENSHAW ST,5599
013XX W HARRISON ST,5600
013XX W HASTINGS ST,5601
013XX W HENDERSON ST,5602
013XX W HOLLYWOOD AVE,5603
013XX W HOOD AVE,5604
013XX W HUBBARD ST,5605
013XX W HURON ST,5606
013XX W IRVING PARK RD,5607
013XX W JACKSON BLVD,5608
013XX W JARVIS AVE,5609
013XX W LAKE ST,5610
013XX W LAWRENCE AVE,5611
013XX W LELAND AVE,5612
013XX W LOYOLA AVE,5613
013XX W LUNT AVE,5614
013XX W MADISON ST,5615
013XX W MARQUETTE RD,5616
013XX W MELROSE ST,5617
013XX W MONROE ST,5618
013XX W MONTROSE AVE,5619
013XX W MORSE AVE,5620
013XX W Madison St,5621
013XX W NELSON ST,5622
013XX W NORTH AVE,5623
013XX W NORTH SHORE AVE,5624
013XX W NORWOOD ST,5625
013XX W OHIO ST,5626
013XX W PERSHING RD,5627
013XX W POTOMAC AVE,5628
013XX W PRATT BLVD,5629
013XX W RANDOLPH SD,5630
013XX W RANDOLPH ST,5631
013XX W ROOSEVELT RD,5632
013XX W ROSCOE ST,5633
013XX W ROSEDALE AVE,5634
013XX W SCHUBERT AVE,5635
013XX W SHERWIN AVE,5636
013XX W SUNNYSIDE AVE,5637
013XX W TAYLOR ST,5638
013XX W THORNDALE AVE,5639
013XX W TOUHY AVE,5640
013XX W VAN BUREN ST,5641
013XX W Van Buren St,5642
013XX W WABANSIA AVE,5643
013XX W WALTON ST,5644
013XX W WASHBURNE AVE,5645
013XX W WASHINGTON BLVD,5646
013XX W WAVELAND AVE,5647
013XX W WEBSTER AVE,5648
013XX W WESTGATE TER,5649
013XX W WILSON AVE,5650
013XX W WINNEMAC AVE,5651
013XX W WINONA ST,5652
013XX W WOLFRAM ST,5653
013XX W WRIGHTWOOD AVE,5654
013XX W Wilson Ave,5655
013XX W fullerton ave,5656
014XX E 130TH ST,5657
014XX E 47TH DR,5658
014XX E 48TH ST,5659
014XX E 49TH ST,5660
014XX E 50TH ST,5661
014XX E 52ND ST,5662
014XX E 52nd St,5663
014XX E 53RD ST,5664
014XX E 54TH PL,5665
014XX E 54TH ST,5666
014XX E 55TH PL,5667
014XX E 55TH ST,5668
014XX E 56TH ST,5669
014XX E 57TH ST,5670
014XX E 59TH ST,5671
014XX E 61ST PL,5672
014XX E 61ST ST,5673
014XX E 62ND PL,5674
014XX E 62ND ST,5675
014XX E 63RD ST,5676
014XX E 64TH ST,5677
014XX E 65TH PL,5678
014XX E 65TH ST,5679
014XX E 66TH PL,5680
014XX E 67TH PL,5681
014XX E 67TH ST,5682
014XX E 68TH ST,5683
014XX E 69TH PL,5684
014XX E 69TH ST,5685
014XX E 70TH ST,5686
014XX E 71ST PL,5687
014XX E 71ST ST,5688
014XX E 72ND PL,5689
014XX E 72ND ST,5690
014XX E 73RD ST,5691
014XX E 74TH ST,5692
014XX E 75TH ST,5693
014XX E 76TH ST,5694
014XX E 79TH ST,5695
014XX E 83RD ST,5696
014XX E 85TH ST,5697
014XX E 86TH ST,5698
