Original Value,Encoded Value
0000X N PEORIA ST,229
0000X N PINE AVE,230
0000X N PULASKI RD,231
0000X N Peoria St,232
0000X N RACINE AVE,233
0000X N SACRAMENTO BLVD,234
0000X N SANGAMON ST,235
0000X N STATE ST,236
0000X N State st,237
0000X N THROOP ST,238
0000X N WABASH AVE,239
0000X N WACKER DR,240
0000X N WALLER AVE,241
0000X N WASHTENAW AVE,242
0000X N WELLS ST,243
0000X N WESTERN AVE,244
0000X N WOLCOTT AVE,245
0000X S ABERDEEN ST,246
0000X S ALBANY AVE,247
0000X S ASHLAND AVE,248
0000X S AUSTIN BLVD,249
0000X S BAGGAGE LN,250
0000X S CALIFORNIA AVE,251
0000X S CAMPBELL AVE,252
0000X S CANAL ST,253
0000X S CENTRAL AVE,254
0000X S CENTRAL PARK BLVD,255
0000X S CICERO AVE,256
0000X S CLARK ST,257
0000X S CLINTON ST,258
0000X S COLUMBUS DR,259
0000X S DEARBORN ST,260
0000X S DOOR 4 ST,261
0000X S FRANCISCO AVE,262
0000X S FRANKLIN ST,263
0000X S GREEN ST,264
0000X S HALSTED ST,265
0000X S HAMLIN BLVD,266
0000X S HOMAN AVE,267
0000X S HOYNE AVE,268
0000X S Halsted St,269
0000X S JEFFERSON ST,270
0000X S KEDZIE AVE,271
0000X S KEELER AVE,272
0000X S KENTON AVE,273
0000X S KILBOURN AVE,274
0000X S KILDARE AVE,275
0000X S KILPATRICK AVE,276
0000X S KOSTNER AVE,277
0000X S LA SALLE ST,278
0000X S LAFLIN ST,279
0000X S LAKEFRONT DR,280
0000X S LARAMIE AVE,281
0000X S LAVERGNE AVE,282
0000X S LEAMINGTON AVE,283
0000X S LEAVITT ST,284
0000X S LOCKWOOD AVE,285
0000X S LOOMIS ST,286
0000X S LOTUS AVE,287
0000X S MASON AVE,288
0000X S MAYFIELD AVE,289
0000X S MENARD AVE,290
0000X S MICHIGAN AVE,291
0000X S MIDWAY ST,292
0000X S MORGAN ST,293
0000X S OAKLEY BLVD,294
0000X S PARKING LOT MIDWAY ST,295
0000X S PARKSIDE AVE,296
0000X S PAULINA ST,297
0000X S PEORIA ST,298
0000X S PULASKI RD,299
0000X S RACINE AVE,300
0000X S RIVERSIDE PLZ,301
0000X S SACRAMENTO BLVD,302
0000X S SANGAMON ST,303
0000X S SEELEY AVE,304
0000X S SPAULDING AVE,305
0000X S SPRINGFIELD AVE,306
0000X S ST LOUIS AVE,307
0000X S STATE ST,308
0000X S THROOP ST,309
0000X S WABASH AVE,310
0000X S WACKER DR,311
0000X S WALLER AVE,312
0000X S WELLS ST,313
0000X S WESTERN AVE,314
0000X S WHIPPLE ST,315
0000X S WOOD ST,316
0000X S state st,317
0000X W 100TH ST,318
0000X W 101ST ST,319
0000X W 103RD PL,320
0000X W 103RD ST,321
0000X W 104TH PL,322
0000X W 104TH ST,323
0000X W 105TH ST,324
0000X W 107TH ST,325
0000X W 108TH PL,326
0000X W 108TH ST,327
0000X W 109TH PL,328
0000X W 109TH ST,329
0000X W 110TH PL,330
0000X W 110TH ST,331
0000X W 111TH PL,332
0000X W 111TH ST,333
0000X W 112TH PL,334
0000X W 112TH ST,335
0000X W 113TH PL,336
0000X W 113TH ST,337
0000X W 114TH PL,338
0000X W 114TH ST,339
0000X W 115TH ST,340
0000X W 116TH ST,341
0000X W 119TH ST,342
0000X W 120TH ST,343
0000X W 122ND ST,344
0000X W 124TH ST,345
0000X W 125TH PL,346
0000X W 126TH PL,347
0000X W 127TH ST,348
0000X W 14TH ST,349
0000X W 15TH ST,350
0000X W 16TH ST,351
0000X W 17TH ST,352
0000X W 18TH ST,353
0000X W 24TH ST,354
0000X W 25TH ST,355
0000X W 26TH ST,356
0000X W 27TH ST,357
0000X W 30TH ST,358
0000X W 31ST ST,359
0000X W 34TH ST,360
0000X W 35TH PL,361
0000X W 35TH ST,362
0000X W 36TH ST,363
0000X W 37TH ST,364
0000X W 40TH PL,365
0000X W 40TH ST,366
0000X W 43RD PL,367
0000X W 43RD ST,368
0000X W 44TH ST,369
0000X W 45TH ST,370
0000X W 47TH ST,371
0000X W 59TH ST,372
0000X W 63RD ST,373
0000X W 68TH ST,374
0000X W 69TH ST,375
0000X W 71ST ST,376
0000X W 72ND ST,377
0000X W 73RD ST,378
0000X W 74TH ST,379
0000X W 75TH ST,380
0000X W 76TH ST,381
0000X W 77TH PL,382
0000X W 77TH ST,383
0000X W 78TH PL,384
0000X W 78TH ST,385
0000X W 79TH ST,386
0000X W 80TH ST,387
0000X W 81ST ST,388
0000X W 83RD ST,389
0000X W 85TH ST,390
0000X W 87TH ST,391
0000X W 95TH ST,392
0000X W 97TH ST,393
0000X W 99TH ST,394
0000X W ADAMS ST,395
0000X W BRAYTON ST,396
0000X W BURTON PL,397
0000X W CERMAK RD,398
0000X W CHECKPOINT 10 ST,399
0000X W CHECKPOINT 5 ST,400
0000X W CHECKPOINT 6 ST,401
0000X W CHECKPOINT 7 ST,402
0000X W CHECKPOINT 7A ST,403
0000X W CHESTNUT ST,404
0000X W CHICAGO AVE,405
0000X W CONGRESS PKWY,406
0000X W CTA 69TH ST LN,407
0000X W CTA 95TH ST LN,408
0000X W CTA OHARE PLATFORM ST,409
0000X W CULLERTON ST,410
0000X W Chestnut St,411
0000X W DELAWARE PL,412
0000X W DIVISION ST,413
0000X W Division ST,414
0000X W Division St,415
0000X W ELM ST,416
0000X W ERIE ST,417
0000X W GARFIELD BLVD,418
0000X W GOETHE ST,419
0000X W GRAND AVE,420
0000X W HARRISON ST,421
0000X W HOTEL DR,422
0000X W HUBBARD ST,423
0000X W HURON ST,424
0000X W Hubbard ST,425
0000X W Hubbard St,426
0000X W Hubbard st,427
0000X W Huron St,428
0000X W I190 EXPY,429
0000X W ILLINOIS ST,430
0000X W Illinois St,431
0000X W JACKSON BLVD,432
0000X W KINZIE ST,433
0000X W LA SALLE DR,434
0000X W LAKE ST,435
0000X W LOWER WACKER DR,436
0000X W Lake St,437
0000X W MADISON ST,438
0000X W MAPLE ST,439
0000X W MARBLE PL,440
0000X W MARQUETTE RD,441
0000X W MONROE ST,442
0000X W Maple St,443
0000X W NORTH BLVD,444
0000X W OAK ST,445
0000X W OHARE ST,446
0000X W OHIO ST,447
0000X W ONTARIO ST,448
0000X W PARKING LOT A ST,449
0000X W PARKING LOT B ST,450
0000X W PARKING LOT C ST,451
0000X W PARKING LOT D ST,452
0000X W PARKING LOT E SEC G ST,453
0000X W PARKING LOT E ST,454
0000X W PARKING LOT F ST,455
0000X W PARKING LOT G ST,456
0000X W PERSHING RD,457
0000X W POLK ST,458
0000X W QUINCY ST,459
0000X W RANDOLPH ST,460
0000X W RIVERWALK S,461
0000X W ROOSEVELT RD,462
0000X W ROOT ST,463
0000X W Randolph St,464
0000X W SCHILLER ST,465
0000X W SUPERIOR ST,466
0000X W Superior St,467
0000X W TERMINAL ST,468
0000X W TOOKER PL,469
0000X W VAN BUREN ST,470
0000X W WACKER DR,471
0000X W WALTON ST,472
0000X W WASHINGTON ST,473
0000X W Wacker Dr,474
0000X W hubbard st,475
000XX E 100TH PL,476
000XX E 24TH ST,477
000XX E 28TH ST,478
000XX E 75TH ST,479
000XX E CERMAK RD,480
000XX E GRAND AVE,481
000XX E MARQUETTE RD,482
000XX N CENTRAL AVE,483
000XX N MICHIGAN AVE,484
000XX S ALBANY AVE,485
000XX S SEELEY AVE,486
000XX W 105TH ST,487
000XX W 69TH ST,488
000XX W 71ST ST,489
000XX W 79TH ST,490
000XX W 95TH ST,491
001XX E 100TH ST,492
001XX E 102ND ST,493
001XX E 103RD PL,494
001XX E 103RD ST,495
001XX E 104TH PL,496
001XX E 104TH ST,497
001XX E 105TH ST,498
001XX E 107TH ST,499
001XX E 107th St,500
001XX E 108TH ST,501
001XX E 110TH ST,502
001XX E 111TH ST,503
001XX E 112TH ST,504
001XX E 113TH ST,505
001XX E 114TH PL,506
001XX E 115TH ST,507
001XX E 116TH ST,508
001XX E 117TH PL,509
001XX E 117TH ST,510
001XX E 118TH PL,511
001XX E 118TH ST,512
001XX E 119TH PL,513
001XX E 119TH ST,514
001XX E 120TH PL,515
001XX E 120TH ST,516
001XX E 121ST PL,517
001XX E 121ST ST,518
001XX E 122ND PL,519
001XX E 122ND ST,520
001XX E 123RD ST,521
001XX E 124TH ST,522
001XX E 127TH ST,523
001XX E 130TH ST,524
001XX E 133RD ST,525
001XX E 13TH ST,526
001XX E 14TH ST,527
001XX E 16TH ST,528
001XX E 18TH ST,529
001XX E 21ST ST,530
001XX E 23RD ST,531
001XX E 24TH PL,532
001XX E 24TH ST,533
001XX E 25TH ST,534
001XX E 26TH ST,535
001XX E 28TH PL,536
001XX E 31ST ST,537
001XX E 32ND ST,538
001XX E 33RD BLVD,539
001XX E 35TH ST,540
001XX E 36TH ST,541
001XX E 37TH PL,542
001XX E 37TH ST,543
001XX E 41ST ST,544
001XX E 42ND ST,545
001XX E 43RD ST,546
001XX E 44TH ST,547
001XX E 45TH ST,548
001XX E 46TH ST,549
001XX E 47TH ST,550
001XX E 49TH ST,551
001XX E 50TH ST,552
001XX E 51ST ST,553
001XX E 53RD ST,554
001XX E 56TH ST,555
001XX E 57TH ST,556
001XX E 58TH ST,557
001XX E 59TH ST,558
001XX E 60TH ST,559
001XX E 61ST ST,560
001XX E 63RD ST,561
001XX E 68TH ST,562
001XX E 70TH ST,563
001XX E 71ST ST,564
001XX E 72ND ST,565
001XX E 73RD ST,566
001XX E 74TH ST,567
001XX E 75TH ST,568
001XX E 76TH ST,569
001XX E 77TH ST,570
001XX E 78TH ST,571
001XX E 79TH ST,572
001XX E 81ST ST,573
001XX E 83RD ST,574
001XX E 86TH ST,575
001XX E 87TH ST,576
001XX E 88TH ST,577
001XX E 89TH ST,578
001XX E 92ND ST,579
001XX E 95TH ST,580
001XX E BALBO DR,581
001XX E BELLEVUE PL,582
001XX E CERMAK RD,583
001XX E CHESTNUT ST,584
001XX E CHICAGO AVE,585
001XX E CULLERTON ST,586
001XX E Chestnut St,587
001XX E DELAWARE PL,588
001XX E ERIE ST,589
001XX E GARFIELD BLVD,590
001XX E GRAND AVE,591
001XX E Grand Ave,592
001XX E HURON ST,593
001XX E ILLINOIS ST,594
001XX E JACKSON DR,595
001XX E KENSINGTON AVE,596
001XX E LA SALLE DR,597
001XX E LAKE SHORE DR,598
001XX E LAKE ST,599
001XX E LOWER SOUTH WATER ST,600
001XX E LOWER WACKER DR,601
001XX E MARQUETTE RD,602
001XX E MONROE DR,603
001XX E OAK ST,604
001XX E OHIO ST,605
001XX E ONTARIO ST,606
001XX E Ontario st,607
001XX E PEARSON ST,608
001XX E PERSHING RD,609
001XX E RANDOLPH ST,610
001XX E ROOSEVELT RD,611
001XX E SUPERIOR ST,612
001XX E WACKER DR,613
001XX E WALTON ST,614
001XX N ABERDEEN ST,615
001XX N ADA ST,616
001XX N ASHLAND AVE,617
001XX N AUSTIN BLVD,618
001XX N Aberdeen St,619
001XX N BELL AVE,620
001XX N BESSIE COLEMAN DR,621
001XX N CALIFORNIA AVE,622
001XX N CAMPBELL AVE,623
001XX N CANAL ST,624
001XX N CARPENTER ST,625
001XX N CENTRAL AVE,626
001XX N CENTRAL PARK DR,627
001XX N CICERO AVE,628
001XX N CLARK ST,629
001XX N CLINTON ST,630
001XX N COLUMBUS DR,631
001XX N Clark St,632
001XX N DAMEN AVE,633
001XX N DEARBORN ST,634
001XX N DESPLAINES ST,635
001XX N ELIZABETH ST,636
001XX N FIELD BLVD,637
001XX N FRANCISCO AVE,638
001XX N FRANKLIN ST,639
001XX N GARLAND CT,640
001XX N GREEN ST,641
001XX N Green St,642
001XX N HALSTED ST,643
001XX N HAMLIN BLVD,644
001XX N HARBOR DR,645
001XX N HERMITAGE AVE,646
001XX N HOMAN BLVD,647
001XX N HOYNE AVE,648
001XX N JEFFERSON ST,649
001XX N KARLOV AVE,650
001XX N KEDZIE AVE,651
001XX N KEELER AVE,652
001XX N KENTON AVE,653
001XX N KILBOURN AVE,654
001XX N KILDARE AVE,655
001XX N KILPATRICK AVE,656
001XX N KOSTNER AVE,657
001XX N LA CROSSE AVE,658
001XX N LA SALLE ST,659
001XX N LAKE SHORE DR NB,660
001XX N LAKE SHORE DR SB,661
001XX N LAMON AVE,662
001XX N LAPORTE AVE,663
001XX N LARAMIE AVE,664
001XX N LATROBE AVE,665
001XX N LAVERGNE AVE,666
001XX N LEAMINGTON AVE,667
001XX N LEAVITT ST,668
001XX N LECLAIRE AVE,669
001XX N LOCKWOOD AVE,670
001XX N LONG AVE,671
001XX N LOOMIS ST,672
001XX N LOREL AVE,673
001XX N LOTUS AVE,674
001XX N LOWER WACKER DR,675
001XX N MASON AVE,676
001XX N MAY ST,677
001XX N MAYFIELD AVE,678
001XX N MENARD AVE,679
001XX N MICHIGAN AVE,680
001XX N MORGAN ST,681
001XX N MOZART ST,682
001XX N Michigan Ave,683
001XX N OAKLEY BLVD,684
001XX N OGDEN AVE,685
001XX N PARKSIDE AVE,686
001XX N PAULINA ST,687
001XX N PEORIA ST,688
001XX N PINE AVE,689
001XX N PULASKI RD,690
001XX N Peoria St,691
001XX N RACINE AVE,692
001XX N RIVERSIDE PLZ,693
001XX N SANGAMON ST,694
001XX N STATE ST,695
001XX N STETSON AVE,696
001XX N STREETER DR,697
001XX N State St,698
001XX N TALMAN AVE,699
001XX N WABASH AVE,700
001XX N WACKER DR,701
001XX N WALLER AVE,702
001XX N WELLS ST,703
001XX N WESTERN AVE,704
001XX N WILLARD CT,705
001XX N WOLCOTT AVE,706
001XX N WOOD ST,707
001XX N Wood ST,708
001XX N aberdeen st,709
001XX N state st,710
001XX S ABERDEEN ST,711
001XX S ALBANY AVE,712
001XX S ASHLAND AVE,713
001XX S AUSTIN BLVD,714
001XX S BELL AVE,715
001XX S CALIFORNIA AVE,716
001XX S CAMPBELL AVE,717
001XX S CANAL ST,718
001XX S CENTRAL AVE,719
001XX S CENTRAL PARK BLVD,720
001XX S CICERO AVE,721
001XX S CLARK ST,722
001XX S CLINTON ST,723
001XX S COLUMBUS DR,724
001XX S Campbell Ave,725
001XX S DAMEN AVE,726
001XX S DEARBORN ST,727
001XX S DESPLAINES ST,728
001XX S FRANCISCO AVE,729
001XX S FRANKLIN ST,730
001XX S GREEN ST,731
001XX S HALSTED ST,732
001XX S HAMLIN BLVD,733
001XX S HOMAN AVE,734
001XX S HONORE ST,735
001XX S JEFFERSON ST,736
001XX S KARLOV AVE,737
001XX S KEELER AVE,738
001XX S KENTON AVE,739
001XX S KILBOURN AVE,740
001XX S KILDARE AVE,741
001XX S KILPATRICK AVE,742
001XX S KOSTNER AVE,743
001XX S LA SALLE ST,744
001XX S LAFLIN ST,745
001XX S LAKE SHORE DR NB,746
001XX S LARAMIE AVE,747
001XX S LAVERGNE AVE,748
001XX S LEAMINGTON AVE,749
001XX S LEAVITT ST,750
001XX S LOCKWOOD AVE,751
001XX S LOTUS AVE,752
001XX S Laflin St,753
001XX S MASON AVE,754
001XX S MAYFIELD AVE,755
001XX S MENARD AVE,756
001XX S MICHIGAN AVE,757
001XX S MORGAN ST,758
001XX S OAKLEY BLVD,759
001XX S PARKSIDE AVE,760
001XX S PAULINA ST,761
001XX S PEORIA ST,762
001XX S PULASKI RD,763
001XX S RACINE AVE,764
